100,Registry,20220801175109.557506+540
0,System Idle Process,20220801175112.374995+540
4,System,20220801175112.374995+540
396,smss.exe,20220801175112.384134+540
608,csrss.exe,20220801175119.047362+540
692,wininit.exe,20220801175119.433280+540
700,csrss.exe,20220801175119.436459+540
780,winlogon.exe,20220801175119.475624+540
836,services.exe,20220801175119.566910+540
848,lsass.exe,20220801175119.621153+540
980,svchost.exe,20220801175120.161074+540
1008,fontdrvhost.exe,20220801175120.187900+540
1012,fontdrvhost.exe,20220801175120.187901+540
684,svchost.exe,20220801175120.368161+540
1004,svchost.exe,20220801175120.400958+540
1080,dwm.exe,20220801175120.564986+540
1220,svchost.exe,20220801175120.745526+540
1224,svchost.exe,20220801175120.745527+540
1228,svchost.exe,20220801175120.745528+540
1308,svchost.exe,20220801175120.759147+540
1316,svchost.exe,20220801175120.759528+540
1416,svchost.exe,20220801175120.805273+540
1424,svchost.exe,20220801175120.809173+540
1500,svchost.exe,20220801175120.828391+540
1516,svchost.exe,20220801175120.831941+540
1604,svchost.exe,20220801175120.859017+540
1720,svchost.exe,20220801175120.906821+540
1880,svchost.exe,20220801175120.956234+540
1952,svchost.exe,20220801175121.010571+540
1960,svchost.exe,20220801175121.010636+540
2008,svchost.exe,20220801175121.027432+540
2032,svchost.exe,20220801175121.032647+540
1124,svchost.exe,20220801175121.036609+540
1496,svchost.exe,20220801175121.042398+540
2180,svchost.exe,20220801175121.207499+540
2204,Memory Compression,20220801175121.212351+540
2300,svchost.exe,20220801175121.241773+540
2320,igfxCUIService.exe,20220801175121.281658+540
2388,svchost.exe,20220801175121.352477+540
2396,svchost.exe,20220801175121.356547+540
2436,svchost.exe,20220801175121.373351+540
2464,svchost.exe,20220801175121.390849+540
2476,svchost.exe,20220801175121.398693+540
2532,WUDFHost.exe,20220801175121.428227+540
2600,svchost.exe,20220801175121.447769+540
2724,svchost.exe,20220801175121.776808+540
2828,RtkAudioService64.exe,20220801175122.040252+540
2908,dasHost.exe,20220801175122.329361+540
2940,svchost.exe,20220801175122.350010+540
2948,svchost.exe,20220801175122.354200+540
2960,svchost.exe,20220801175122.359260+540
2380,svchost.exe,20220801175122.520399+540
3088,svchost.exe,20220801175122.567675+540
3160,svchost.exe,20220801175125.267665+540
3216,svchost.exe,20220801175126.188466+540
3316,spoolsv.exe,20220801175126.743252+540
3408,svchost.exe,20220801175128.957512+540
3468,svchost.exe,20220801175129.958639+540
3524,svchost.exe,20220801175130.039492+540
3692,svchost.exe,20220801175130.232503+540
3700,svchost.exe,20220801175130.232638+540
3708,svchost.exe,20220801175130.232719+540
3724,svchost.exe,20220801175130.233939+540
3744,svchost.exe,20220801175130.237472+540
3756,AdminService.exe,20220801175130.240201+540
3768,IntelCpHDCPSvc.exe,20220801175130.242399+540
3776,ETDService.exe,20220801175130.244612+540
3788,svchost.exe,20220801175130.250358+540
3832,svchost.exe,20220801175130.257853+540
3964,MsMpEng.exe,20220801175130.292392+540
3972,svchost.exe,20220801175130.293226+540
4008,mongod.exe,20220801175130.301613+540
4140,svchost.exe,20220801175130.400347+540
4152,svchost.exe,20220801175130.404977+540
4168,svchost.exe,20220801175130.411071+540
4180,IntelCpHeciSvc.exe,20220801175130.415374+540
4796,RAVBg64.exe,20220801175131.217622+540
4804,ETDCtrl.exe,20220801175131.217983+540
4884,sihost.exe,20220801175131.352704+540
4900,svchost.exe,20220801175131.371432+540
5036,svchost.exe,20220801175131.528306+540
4552,PresentationFontCache.exe,20220801175131.674864+540
4696,taskhostw.exe,20220801175131.702816+540
4716,svchost.exe,20220801175131.737930+540
5224,svchost.exe,20220801175131.883750+540
5320,ctfmon.exe,20220801175131.985081+540
5424,svchost.exe,20220801175132.268356+540
5440,igfxEM.exe,20220801175132.277708+540
5780,explorer.exe,20220801175133.119955+540
5860,svchost.exe,20220801175133.244426+540
4840,ETDCtrlHelper.exe,20220801175133.800479+540
4836,svchost.exe,20220801175133.812393+540
5832,svchost.exe,20220801175134.199884+540
6328,StartMenuExperienceHost.exe,20220801175136.010431+540
6500,svchost.exe,20220801175136.240321+540
6540,RuntimeBroker.exe,20220801175136.283220+540
6668,svchost.exe,20220801175136.623965+540
6684,svchost.exe,20220801175136.630958+540
6764,svchost.exe,20220801175136.705996+540
6832,SearchApp.exe,20220801175136.802630+540
6972,SearchIndexer.exe,20220801175137.164414+540
7016,taskhostw.exe,20220801175137.195218+540
7028,RuntimeBroker.exe,20220801175137.212304+540
7372,YourPhone.exe,20220801175137.772635+540
7812,RuntimeBroker.exe,20220801175139.032750+540
2756,svchost.exe,20220801175141.116638+540
2860,svchost.exe,20220801175141.707773+540
1100,MoUsoCoreWorker.exe,20220801175141.785791+540
8284,NisSrv.exe,20220801175141.989179+540
8384,GoogleCrashHandler.exe,20220801175142.230368+540
8392,GoogleCrashHandler64.exe,20220801175142.285113+540
8572,RuntimeBroker.exe,20220801175143.720723+540
8712,TextInputHost.exe,20220801175145.621424+540
9008,SecurityHealthSystray.exe,20220801175148.652890+540
8376,SecurityHealthService.exe,20220801175148.733992+540
9260,SynTPEnh.exe,20220801175149.132854+540
9316,OneDrive.exe,20220801175150.052323+540
9600,KakaoTalk.exe,20220801175152.602316+540
9860,Discord.exe,20220801175154.396268+540
9948,Discord.exe,20220801175155.577083+540
10048,Discord.exe,20220801175155.904902+540
10088,Discord.exe,20220801175156.107464+540
2076,Discord.exe,20220801175157.679541+540
9656,RAVBg64.exe,20220801175202.228912+540
8844,RAVBg64.exe,20220801175202.290894+540
10300,Discord.exe,20220801175204.436949+540
10500,chrome.exe,20220801175204.919167+540
10520,RAVCpl64.exe,20220801175205.039021+540
10528,chrome.exe,20220801175205.072418+540
10720,chrome.exe,20220801175205.720734+540
10728,chrome.exe,20220801175205.724867+540
10752,chrome.exe,20220801175205.753541+540
10920,chrome.exe,20220801175206.254453+540
11372,chrome.exe,20220801175211.694113+540
12004,svchost.exe,20220801175223.247989+540
12108,svchost.exe,20220801175223.401354+540
3928,SystemSettings.exe,20220801175324.445222+540
4016,ApplicationFrameHost.exe,20220801175324.446230+540
11468,UserOOBEBroker.exe,20220801175324.873055+540
6708,svchost.exe,20220801175330.600766+540
11076,svchost.exe,20220801175331.632173+540
3228,DolbyDAX2API.exe,20220801175332.864006+540
2196,SgrmBroker.exe,20220801175333.846035+540
9552,svchost.exe,20220801175334.161411+540
5972,Code.exe,20220801175649.265203+540
11532,Code.exe,20220801175650.088876+540
10648,Code.exe,20220801175650.272180+540
8308,Code.exe,20220801175650.582075+540
4064,Code.exe,20220801175650.777565+540
10032,Code.exe,20220801175653.206054+540
4576,Code.exe,20220801175653.972299+540
9828,svchost.exe,20220801175821.777049+540
10000,chrome.exe,20220801175934.341134+540
11572,chrome.exe,20220801175935.591101+540
11096,SearchApp.exe,20220801180138.366871+540
9520,dllhost.exe,20220801180138.948346+540
2376,chrome.exe,20220801180658.521981+540
4752,chrome.exe,20220801180715.370101+540
11084,svchost.exe,20220801181123.822185+540
12216,ShellExperienceHost.exe,20220801185439.635199+540
7196,RuntimeBroker.exe,20220801185439.857775+540
4708,Code.exe,20220801185930.001702+540
1564,Code.exe,20220801185930.816480+540
5992,conhost.exe,20220801185932.644954+540
2352,powershell.exe,20220801185932.738357+540
4196,Code.exe,20220801185935.223263+540
1152,conhost.exe,20220801185939.040577+540
12064,powershell.exe,20220801185939.245466+540
10424,Code.exe,20220801185950.935227+540
12092,chrome.exe,20220801210155.021553+540
3052,audiodg.exe,20220801233331.228639+540
3336,svchost.exe,20220801233331.450412+540
11652,FMAPP.exe,20220802014131.508769+540
12276,chrome.exe,20220802015725.439466+540
11580,chrome.exe,20220802022409.353539+540
11536,chrome.exe,20220802023653.200540+540
1296,chrome.exe,20220802023717.248225+540
9840,chrome.exe,20220802025514.859678+540
8648,WmiPrvSE.exe,20220802025626.681046+540
9588,SearchProtocolHost.exe,20220802025821.418873+540
4528,SearchFilterHost.exe,20220802025821.504696+540
7972,python.exe,20220802025910.179401+540
7516,conhost.exe,20220802025910.188226+540
8432,python.exe,20220802025910.800285+540
11520,python.exe,20220802025911.282861+540
